范围一、二相关燃料和能源相关的活动产生的排放,汽油生产,车队
范围一、二相关燃料和能源相关的活动产生的排放,焦炭生产,烧结、高炉
范围一、二相关燃料和能源相关的活动产生的排放,焦屑生产,烧结、高炉
范围一、二相关燃料和能源相关的活动产生的排放,烟煤生产,高炉
范围一、二相关燃料和能源相关的活动产生的排放,无烟煤生产,烧结、高炉
范围一、二相关燃料和能源相关的活动产生的排放,天然气生产,转炉、电炉、锻造、热处理
范围一、二相关燃料和能源相关的活动产生的排放,外购电力上游排放,各工序
上游运输配送产生的排放,船运,-
上游运输配送产生的排放,汽运,-
上游运输配送产生的排放,铁路运输,-
运营中产生的废物排放,生活垃圾和厨余垃圾,垃圾站
运营中产生的废物排放,废油,-
运营中产生的废物排放,废油水,-
运营中产生的废物排放,焦油,-
运营中产生的废物排放,废弃物运输,-
商务旅行产生的排放,航运,-
商务旅行产生的排放,铁路运输,-
商务旅行产生的排放,员工差旅住宿,-
员工通勤产生的排放,通勤车,-
员工通勤产生的排放,电动车,-
员工通勤产生的排放,自驾油车,-
员工通勤产生的排放,自驾电车,-
下游运输配送产生的排放,船运,-
下游运输配送产生的排放,汽运,-
下游运输配送产生的排放,铁路运输,-
下游运输配送产生的排放,汽运-副产品,-
外销产品加工产生的排放,锻材加工,下游钢铁厂
外销产品加工产生的排放,棒材加工,下游钢铁厂
外销产品加工产生的排放,钢管加工,下游钢铁厂
外销产品加工产生的排放,钢坯加工,下游钢铁厂
外售产品报废产生的排放,产品报废,下游钢铁厂
